GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
ZAF00221;1994-07-26;10:30;0.0;DRP;0;;0.017;mg/l;Fair;
ZAF00221;1994-08-08;10:00;0.0;Alk-Tot;0;;94.1;mg/l;Fair;
ZAF00221;1994-08-08;10:00;0.0;EC;0;;644.0;µS/cm;Fair;
ZAF00221;1994-08-08;10:00;0.0;DRP;0;;0.019;mg/l;Fair;
ZAF00221;1994-08-16;12:00;0.0;Alk-Tot;0;;97.6;mg/l;Fair;
ZAF00221;1994-08-16;12:00;0.0;EC;0;;621.0;µS/cm;Fair;
ZAF00221;1994-08-16;12:00;0.0;DRP;0;;0.045;mg/l;Fair;
ZAF00221;1994-09-26;13:00;0.0;Alk-Tot;0;;116.1;mg/l;Fair;
ZAF00221;1994-09-26;13:00;0.0;EC;0;;742.0;µS/cm;Fair;
ZAF00221;1994-09-26;13:00;0.0;DRP;0;;0.01;mg/l;Fair;
ZAF00221;1994-10-04;12:30;0.0;Alk-Tot;0;;118.0;mg/l;Fair;
ZAF00221;1994-10-04;12:30;0.0;EC;0;;751.0;µS/cm;Fair;
ZAF00221;1994-10-04;12:30;0.0;DRP;0;;0.013;mg/l;Fair;
ZAF00221;1994-11-23;13:30;0.0;Alk-Tot;0;;120.6;mg/l;Fair;
ZAF00221;1994-11-23;13:30;0.0;EC;0;;722.0;µS/cm;Fair;
ZAF00221;1994-11-23;13:30;0.0;DRP;0;;0.036;mg/l;Fair;
ZAF00221;1994-12-15;10:00;0.0;Alk-Tot;0;;124.7;mg/l;Fair;
ZAF00221;1994-12-15;10:00;0.0;EC;0;;718.0;µS/cm;Fair;
ZAF00221;1994-12-15;10:00;0.0;DRP;0;;0.032;mg/l;Fair;
ZAF00221;1995-01-24;09:00;0.0;Alk-Tot;0;;82.0;mg/l;Fair;
ZAF00221;1995-01-24;09:00;0.0;EC;0;;433.0;µS/cm;Fair;
ZAF00221;1995-01-24;09:00;0.0;DRP;0;;0.035;mg/l;Fair;
ZAF00221;1995-02-01;14:00;0.0;Alk-Tot;0;;80.0;mg/l;Fair;
ZAF00221;1995-02-01;14:00;0.0;EC;0;;430.0;µS/cm;Fair;
ZAF00221;1995-02-01;14:00;0.0;DRP;0;;0.022;mg/l;Fair;
